Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S03_Drugs_T037d_Drug_DrugTypes,4,5,6,6,6,6,5,6,0.000%,.00845,0.01,0.02
S03_Drugs_T037e_Drug_unlockdata,4,17,17,20,20,20,16,20,0.000%,.00845,0.00,0.02
S03_Drugs_T037f_DrugsAdvanceSearch_advancedsearchcategory,4,9,7,12,12,12,6,12,0.000%,.00845,0.07,0.02
S03_Drugs_T037g_DrugsAdvanceSearch_advanceSearch,4,2029,1937,2226,2226,2226,1913,2226,0.000%,.00841,0.43,0.02
S03_Drugs_T037z_DrugsLandingPage,4,2088,1993,2287,2287,2287,1967,2287,0.000%,.00841,0.59,0.12
S03_Drugs_T038z_NewPharmaproject Drug,4,5,5,7,7,7,5,7,0.000%,.00845,0.04,0.02
S03_Drugs_T039z_CheckPrimaryNameExists,4,328,278,437,437,437,266,437,0.000%,.00844,0.00,0.02
S03_Drugs_T040z_Save_DrugName,4,96,91,106,106,106,91,106,0.000%,.00845,0.02,0.02
S03_Drugs_T041z_DrugSummaryTab,4,6,6,9,9,9,6,9,0.000%,.00845,0.03,0.02
S03_Drugs_T042z_Save_DrugSummary,4,177,163,207,207,207,145,207,0.000%,.00845,0.02,0.03
S03_Drugs_T043z_DrugProgramLandscapeStatusTab,4,6,6,9,9,9,6,9,0.000%,.00845,0.03,0.02
S03_Drugs_T044z_drug_programlandscape,4,8,8,9,9,9,8,9,0.000%,.00845,0.00,0.02
S03_Drugs_T045z_Indication_keywordsearch,4,27,25,35,35,35,25,35,0.000%,.00845,0.02,0.02
S03_Drugs_T046z_Company_keywordsearch,4,84,83,91,91,91,72,91,0.000%,.00845,0.74,0.02
S03_Drugs_T047z_Country_keywordsearch,4,10,8,18,18,18,8,18,0.000%,.00845,0.01,0.02
S03_Drugs_T048z_Save_DrugProgramLandscapeStatus,4,86,78,117,117,117,71,117,0.000%,.00845,0.00,0.03
S03_Drugs_T049a_deliveryRoute,3,10,7,18,18,18,7,18,0.000%,.00952,0.09,0.02
S03_Drugs_T049b_deliveryMedium,3,6,6,7,7,7,5,7,0.000%,.00952,0.05,0.02
S03_Drugs_T049c_drugGlobalStatus,3,5,6,6,6,6,4,6,0.000%,.00952,0.03,0.02
S03_Drugs_T049d_pharmacokineticsParameter,3,4,5,5,5,5,4,5,0.000%,.00952,0.02,0.02
S03_Drugs_T049e_deliveryTechnology,3,5,5,6,6,6,4,6,0.000%,.00952,0.04,0.02
S03_Drugs_T049f_pharmacokineticsUnit,3,6,7,7,7,7,5,7,0.000%,.00952,0.14,0.02
S03_Drugs_T049z_ActivityTab,3,38,37,40,40,40,37,40,0.000%,.00952,0.37,0.12
S03_Drugs_T050z_MechanismOfAction_keywordsearch,3,81,71,148,148,148,25,148,0.000%,.00952,0.03,0.02
S03_Drugs_T051z_Target_keywordsearch,3,8,8,10,10,10,6,10,0.000%,.00952,0.00,0.02
S03_Drugs_T052z_TherapeuticClass_keywordsearch,3,8,8,9,9,9,7,9,0.000%,.00952,0.26,0.02
S03_Drugs_T053z_Save_Activity,3,159,155,175,175,175,149,175,0.000%,.00952,0.04,0.04
S03_Drugs_T054a_CountryGroup,3,6,6,8,8,8,6,8,0.000%,.00953,0.02,0.02
S03_Drugs_T054b_Country,3,15,15,17,17,17,13,17,0.000%,.00953,0.83,0.02
S03_Drugs_T054z_DrugLicensingAvailabilityTab,3,21,21,23,23,23,21,23,0.000%,.00952,0.85,0.04
S03_Drugs_T055z_Save_DrugLicensingAvailability,3,158,158,164,164,164,154,164,0.000%,.00952,0.04,0.03
S03_Drugs_T056a_CountryGroup,3,6,6,8,8,8,6,8,0.000%,.00952,0.02,0.02
S03_Drugs_T056b_eventTypes,3,8,7,10,10,10,7,10,0.000%,.00952,0.07,0.02
S03_Drugs_T056c_drug_programlandscapecoutries,3,7,7,9,9,9,6,9,0.000%,.00952,0.00,0.02
S03_Drugs_T056d_drug_programlandscapedisease,3,7,7,9,9,9,7,9,0.000%,.00952,0.00,0.02
S03_Drugs_T056e_drug_programlandscapecompany,3,5,5,7,7,7,5,7,0.000%,.00952,0.00,0.02
S03_Drugs_T056f_Country,3,16,14,22,22,22,12,22,0.000%,.00952,0.83,0.02
S03_Drugs_T056z_EventsTab,3,51,52,53,53,53,49,53,0.000%,.00952,0.93,0.12
S03_Drugs_T057z_Save_Events,3,219,216,247,247,247,195,247,0.000%,.00951,0.05,0.04
S03_Drugs_T058a_OriginOfMaterial,3,7,7,9,9,9,6,9,0.000%,.00952,0.07,0.02
S03_Drugs_T058b_Country,3,15,15,21,21,21,11,21,0.000%,.00952,0.83,0.02
S03_Drugs_T058z_ChemicalDataTab,3,23,22,30,30,30,17,30,0.000%,.00952,0.90,0.04
S03_Drugs_T059z_OriginOfMaterial,3,7,7,10,10,10,6,10,0.000%,.00952,0.07,0.02
S03_Drugs_T060z_Country,3,139,14,392,392,392,11,392,0.000%,.00951,0.83,0.02
S03_Drugs_T061z_Save_ChemicalData,3,372,331,513,513,513,274,513,0.000%,.00950,0.06,0.02
S03_Drugs_T062z_NotesTab,3,6,6,7,7,7,6,7,0.000%,.00951,0.00,0.02
S03_Drugs_T063z_Save_Notes,3,437,444,459,459,459,408,459,0.000%,.00950,0.06,0.02
S03_Drugs_T064a_Drug_AuditTrialHistory,3,11,10,18,18,18,7,18,0.000%,.00952,0.00,0.02
S03_Drugs_T064b_AuditEntry_SearchAuditEntry,3,35,34,37,37,37,34,37,0.000%,.00952,0.07,0.02
S03_Drugs_T064z_AuditTrial,3,46,44,55,55,55,41,55,0.000%,.00952,0.07,0.04
S03_Drugs_T065z_Publish,3,480,462,584,584,584,395,584,0.000%,.00950,0.06,0.02
TOTAL,3456,332,37,505,969,6139,2,16641,0.000%,5.74436,113.57,23.01
